,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
78,3,0,9,0,0,3,1,2,0.54,0.5152,0.94,0.2239,1,12,13
79,1,0,1,22,0,4,1,1,0.18,0.2121,0.74,0.0896,0,27,27
80,1,1,3,22,0,6,0,1,0.26,0.2576,0.44,0.1642,19,81,100
81,4,1,11,11,0,6,0,2,0.36,0.3333,0.46,0.3881,56,284,340
82,4,1,11,19,0,4,1,1,0.38,0.3939,0.27,0.3582,14,359,373
83,4,0,11,2,0,1,1,1,0.32,0.3485,0.93,0.0,0,2,2
84,3,1,8,7,0,6,0,1,0.64,0.5758,0.83,0.0896,8,54,62
85,1,0,2,11,0,5,1,1,0.22,0.2273,0.51,0.1642,3,61,64
86,3,1,7,3,0,2,1,1,0.66,0.6061,0.83,0.0896,1,5,6
87,3,0,9,20,0,4,1,2,0.62,0.5455,0.94,0.1642,6,83,89
88,3,0,7,9,0,5,1,2,0.76,0.7273,0.7,0.2985,30,211,241
89,4,1,10,18,0,2,1,1,0.5,0.4848,0.42,0.1642,71,767,838
90,2,0,6,7,0,5,1,1,0.54,0.5152,0.45,0.2537,25,252,277
91,3,0,7,22,0,5,1,2,0.84,0.7879,0.49,0.0896,44,105,149
92,1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,0,7,7
93,1,1,1,6,0,4,1,2,0.28,0.3182,0.81,0.0,0,88,88
94,3,1,8,14,0,6,0,1,0.76,0.6667,0.37,0.2836,242,356,598
95,2,0,3,1,0,1,1,1,0.22,0.2273,0.44,0.19399999999999998,2,4,6
96,4,1,10,4,0,2,1,2,0.56,0.5303,0.83,0.0896,2,8,10
97,4,1,11,20,0,6,0,2,0.34,0.3485,0.66,0.0896,30,142,172
98,4,1,12,6,0,1,1,2,0.38,0.3939,0.94,0.1642,2,121,123
99,2,0,4,6,0,6,0,2,0.3,0.2879,0.93,0.19399999999999998,0,13,13
100,2,1,4,13,0,2,1,1,0.62,0.6212,0.29,0.2537,52,187,239
101,2,0,5,16,0,3,1,1,0.6,0.5909,0.73,0.19399999999999998,53,241,294
102,1,1,1,9,0,1,1,2,0.2,0.2273,0.86,0.0896,13,198,211
103,2,1,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,1,5,6
104,1,0,2,7,0,5,1,2,0.42,0.4242,0.77,0.2239,8,108,116
105,1,1,2,19,0,3,1,2,0.4,0.4091,0.87,0.1045,0,102,102
106,4,1,9,21,0,2,1,1,0.6,0.6212,0.56,0.2985,34,263,297
107,1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0.0,1,23,24
108,2,0,5,3,0,5,1,1,0.66,0.6212,0.65,0.0896,1,11,12
109,2,0,6,8,0,0,0,1,0.7,0.6667,0.74,0.0,28,64,92
110,3,0,8,9,0,2,1,1,0.78,0.6970000000000001,0.46,0.2985,31,182,213
111,4,1,10,17,0,5,1,1,0.7,0.6364,0.42,0.1642,158,742,900
112,4,0,12,10,0,4,1,2,0.4,0.4091,0.58,0.2985,4,105,109
113,4,1,10,13,0,2,1,3,0.3,0.2727,0.81,0.3582,11,105,116
114,4,0,11,8,0,1,1,2,0.46,0.4545,0.94,0.0,13,378,391
115,3,0,8,20,0,4,1,1,0.72,0.6515,0.37,0.1343,56,232,288
116,1,1,3,2,0,3,1,1,0.3,0.2879,0.56,0.2836,0,4,4
117,1,1,1,19,0,5,1,2,0.2,0.2273,0.37,0.1045,6,186,192
118,4,0,12,17,0,1,1,2,0.3,0.3333,0.56,0.0,7,352,359
119,1,0,2,9,1,1,0,2,0.32,0.303,0.57,0.2836,11,46,57
120,2,1,5,23,0,5,1,1,0.66,0.6061,0.78,0.2239,34,132,166
121,3,0,9,13,0,3,1,1,0.76,0.6970000000000001,0.55,0.2537,39,139,178
122,1,1,1,12,0,6,0,1,0.3,0.2879,0.61,0.2836,70,244,314
123,2,0,6,16,0,6,0,2,0.8,0.7273,0.46,0.19399999999999998,169,225,394
124,4,1,12,3,0,2,1,3,0.36,0.3333,0.76,0.2836,0,3,3
125,3,0,9,5,0,6,0,1,0.46,0.4545,0.72,0.1642,2,3,5
126,3,0,8,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231
127,3,1,8,12,0,3,1,1,0.76,0.6818,0.4,0.0,79,281,360
128,3,0,9,23,0,0,0,2,0.72,0.6818,0.7,0.1642,46,58,104
129,3,0,9,9,0,0,0,1,0.48,0.4697,0.67,0.2537,46,94,140
130,2,1,4,22,0,3,1,1,0.5,0.4848,0.51,0.0,22,170,192
131,2,0,4,18,0,3,1,1,0.74,0.6515,0.3,0.3582,56,385,441
132,1,0,2,15,0,4,1,1,0.22,0.19699999999999998,0.37,0.3284,4,56,60
133,2,1,4,17,0,2,1,1,0.62,0.6061,0.17,0.19399999999999998,123,634,757
134,1,1,3,9,0,2,1,1,0.48,0.4697,0.82,0.2836,18,324,342
135,1,1,2,11,0,0,0,1,0.12,0.1061,0.42,0.2985,3,121,124
136,1,0,1,16,0,0,0,1,0.16,0.1364,0.26,0.3284,9,56,65
137,3,1,8,14,0,3,1,1,0.82,0.7576,0.46,0.1642,88,175,263
138,2,0,4,1,0,1,1,1,0.54,0.5152,1.0,0.0896,2,8,10
139,2,0,6,8,0,4,1,2,0.76,0.7273,0.7,0.1045,32,400,432
140,2,0,6,4,0,1,1,3,0.62,0.5606,0.88,0.1642,1,2,3
141,2,0,3,17,0,6,0,1,0.32,0.303,0.24,0.2239,102,101,203
142,3,0,8,0,0,0,0,1,0.7,0.6667,0.74,0.19399999999999998,6,68,74
143,1,1,3,20,0,3,1,1,0.5,0.4848,0.51,0.2537,18,242,260
144,1,0,2,12,0,5,1,3,0.54,0.5152,0.6,0.4627,20,95,115
145,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,27,120,147
146,2,0,5,4,0,6,0,2,0.5,0.4848,0.82,0.1642,1,4,5
147,2,1,6,19,0,1,1,2,0.76,0.6818,0.48,0.3284,89,507,596
148,4,0,11,2,0,5,1,1,0.28,0.2879,0.81,0.1045,4,6,10
149,1,1,1,6,0,0,0,1,0.2,0.2273,0.4,0.1045,1,4,5
150,3,1,8,20,0,4,1,1,0.78,0.7576,0.66,0.0,51,376,427
151,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,0,3,3
152,3,0,8,7,0,5,1,1,0.64,0.6212,0.44,0.1642,17,247,264
153,1,1,1,2,0,0,0,2,0.18,0.1667,0.74,0.2836,1,46,47
154,4,0,12,20,0,5,1,1,0.3,0.3333,0.81,0.0,10,140,150
155,3,1,6,1,0,6,0,3,0.64,0.5758,0.89,0.2239,3,55,58
156,1,0,2,13,0,4,1,1,0.2,0.1667,0.4,0.4179,4,47,51
157,4,1,11,0,1,1,0,1,0.42,0.4242,0.71,0.1045,6,43,49
158,2,0,5,7,0,0,0,2,0.46,0.4545,0.82,0.0,8,15,23
159,1,1,12,17,0,5,1,2,0.26,0.2273,0.56,0.3284,24,297,321
160,1,0,2,12,0,3,1,2,0.18,0.1818,0.4,0.2239,4,57,61
161,3,0,8,5,0,5,1,2,0.62,0.5606,0.88,0.0,3,23,26
162,2,0,5,14,0,2,1,1,0.78,0.6970000000000001,0.46,0.2836,27,126,153
163,2,0,4,22,0,2,1,2,0.6,0.5606,0.83,0.19399999999999998,32,116,148
164,2,1,5,9,0,3,1,2,0.56,0.5303,0.88,0.0,26,289,315
165,1,1,1,10,0,6,0,1,0.16,0.2273,0.47,0.0,14,135,149
166,2,0,4,12,0,1,1,1,0.66,0.6212,0.74,0.2537,48,140,188
167,1,0,1,19,0,4,1,1,0.26,0.2273,0.56,0.3284,6,146,152
168,1,1,3,11,0,1,1,2,0.26,0.2727,0.56,0.1343,17,86,103
169,1,1,1,15,0,6,0,1,0.4,0.4091,0.47,0.3284,90,320,410
170,3,1,8,10,0,5,1,2,0.76,0.6818,0.48,0.0,78,184,262
171,2,0,6,2,0,5,1,1,0.56,0.5303,0.43,0.2239,0,12,12
172,4,1,11,21,0,2,1,1,0.36,0.3788,0.71,0.0,14,143,157
173,2,1,4,22,0,4,1,1,0.52,0.5,0.59,0.19399999999999998,29,219,248
174,4,0,12,4,0,5,1,1,0.22,0.2727,0.8,0.0,1,1,2
175,4,1,12,20,0,2,1,2,0.5,0.4848,0.63,0.2239,34,272,306
176,4,0,10,22,0,5,1,3,0.3,0.2879,0.75,0.2836,4,32,36
177,1,1,12,17,0,1,1,3,0.24,0.2424,0.93,0.1642,7,19,26
178,2,1,6,12,0,5,1,1,0.7,0.6364,0.45,0.1642,111,292,403
179,2,0,4,20,0,2,1,2,0.42,0.4242,0.82,0.2836,9,94,103
180,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
181,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
182,4,1,10,22,0,4,1,1,0.4,0.4091,0.66,0.1642,10,167,177
183,1,0,3,22,0,3,1,3,0.32,0.3182,0.93,0.1642,4,17,21
184,2,0,3,18,0,0,0,1,0.3,0.2879,0.33,0.19399999999999998,32,105,137
185,4,1,11,0,0,2,1,1,0.32,0.3333,0.7,0.1343,3,26,29
186,3,1,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,197,290,487
187,1,1,12,4,0,4,1,2,0.24,0.2121,0.87,0.3284,0,3,3
188,1,1,12,18,0,5,1,2,0.26,0.2273,0.56,0.2985,7,236,243
189,2,1,4,11,0,1,1,1,0.52,0.5,0.27,0.4179,96,127,223
190,1,1,1,21,0,2,1,1,0.46,0.4545,0.67,0.4627,6,174,180
191,4,1,11,8,1,4,0,1,0.24,0.2424,0.75,0.1343,20,77,97
192,1,1,12,11,0,4,1,2,0.28,0.2424,0.56,0.4478,23,80,103
193,1,1,1,0,0,5,1,2,0.26,0.2273,0.48,0.2985,3,24,27
194,4,1,11,9,0,4,1,2,0.32,0.3182,0.61,0.19399999999999998,17,306,323
195,2,1,4,7,0,3,1,1,0.34,0.3636,0.71,0.0,13,376,389
196,3,1,9,21,0,6,0,2,0.6,0.5606,0.83,0.1642,26,155,181
197,3,1,7,8,0,1,1,2,0.66,0.6061,0.83,0.1642,26,429,455
198,3,0,6,14,0,5,1,1,0.78,0.6970000000000001,0.43,0.2836,67,162,229
199,2,1,5,21,0,6,0,2,0.58,0.5455,0.78,0.2239,86,183,269
200,1,1,1,15,0,0,0,1,0.22,0.2273,0.27,0.19399999999999998,33,173,206
201,3,0,7,19,0,3,1,1,0.8,0.6970000000000001,0.29,0.0896,87,288,375
202,4,1,10,14,0,4,1,1,0.52,0.5,0.32,0.0896,78,270,348
203,2,1,6,8,0,5,1,1,0.6,0.5909,0.69,0.1642,44,609,653
204,3,1,9,4,0,0,0,1,0.66,0.5909,0.89,0.0,7,15,22
205,4,0,11,10,0,1,1,2,0.5,0.4848,0.63,0.2836,26,85,111
206,2,0,5,18,0,5,1,3,0.52,0.5,0.88,0.1642,39,359,398
207,1,1,2,6,0,0,0,1,0.24,0.2121,0.52,0.3284,0,5,5
208,4,0,12,1,0,2,1,1,0.2,0.2576,0.8,0.0,0,4,4
209,3,1,6,0,0,1,1,1,0.72,0.6818,0.62,0.2537,31,37,68
210,2,0,5,14,0,1,1,1,0.68,0.6364,0.51,0.0,76,117,193
211,3,0,9,18,0,4,1,3,0.48,0.4697,0.67,0.6119,22,222,244
212,3,0,8,13,0,4,1,1,0.76,0.6667,0.31,0.2239,51,166,217
213,4,1,11,0,0,5,1,1,0.34,0.3333,0.57,0.1642,10,40,50
214,4,0,10,18,0,4,1,1,0.54,0.5152,0.64,0.0896,59,479,538
215,3,1,7,11,0,6,0,1,0.84,0.7424,0.39,0.2239,162,295,457
216,1,0,3,22,0,4,1,1,0.2,0.2576,0.4,0.0,3,50,53
217,1,0,2,10,0,2,1,1,0.24,0.2121,0.27,0.2836,5,47,52
218,3,1,7,20,0,6,0,1,0.9,0.8182,0.37,0.1642,79,197,276
219,1,1,2,3,0,3,1,2,0.34,0.3182,0.71,0.2239,1,3,4
220,4,1,11,17,0,5,1,2,0.48,0.4697,0.39,0.0896,117,183,300
221,2,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,78,487,565
222,1,1,3,0,0,6,0,1,0.3,0.2727,0.36,0.3582,9,68,77
223,1,0,2,5,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3
224,4,0,10,20,0,3,1,3,0.54,0.5152,0.94,0.1045,9,81,90
225,1,1,12,7,1,2,0,2,0.22,0.2273,0.93,0.1642,0,6,6
226,1,1,3,19,0,2,1,1,0.58,0.5455,0.73,0.1343,75,480,555
227,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,38,81,119
228,3,1,6,13,0,6,0,1,0.82,0.7273,0.34,0.19399999999999998,226,338,564
229,2,1,5,18,0,2,1,1,0.7,0.6515,0.61,0.0896,68,665,733
230,4,0,12,8,0,6,0,2,0.26,0.2576,0.56,0.2239,4,55,59
231,3,1,8,15,0,4,1,1,0.8,0.7273,0.46,0.1642,99,239,338
232,1,0,2,12,0,0,0,1,0.34,0.3333,0.46,0.0,48,126,174
233,1,1,1,2,0,5,1,1,0.4,0.4091,0.76,0.3582,1,13,14
234,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0.0,6,78,84
235,1,1,2,4,0,4,1,1,0.4,0.4091,0.76,0.2239,0,1,1
236,4,1,11,16,0,3,1,2,0.32,0.2879,0.53,0.3582,23,250,273
237,4,1,11,19,0,5,1,1,0.34,0.3485,0.71,0.0896,30,331,361
238,2,1,6,19,0,5,1,1,0.74,0.6515,0.3,0.2239,95,460,555
239,3,1,7,6,0,4,1,1,0.72,0.6667,0.58,0.0,3,130,133
240,2,0,6,7,0,3,1,1,0.54,0.5152,0.6,0.1343,22,348,370
241,4,0,10,3,0,0,0,1,0.42,0.4242,0.54,0.1343,11,31,42
242,4,0,12,15,0,0,0,1,0.3,0.3333,0.26,0.0,47,219,266
243,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,2,168,170
244,1,0,2,20,0,1,1,3,0.44,0.4394,0.88,0.6119,0,45,45
245,1,1,2,5,0,6,0,1,0.24,0.2576,0.7,0.0896,0,1,1
246,1,0,1,15,0,5,1,2,0.2,0.2576,0.86,0.0,1,40,41
247,2,1,3,13,0,4,1,1,0.58,0.5455,0.78,0.0896,83,215,298
248,3,1,9,18,1,1,0,1,0.74,0.6970000000000001,0.66,0.1642,145,337,482
249,1,1,3,14,0,3,1,1,0.52,0.5,0.36,0.3284,38,137,175
250,4,0,10,11,0,1,1,1,0.4,0.4091,0.5,0.1343,31,97,128
251,1,0,2,4,0,5,1,1,0.46,0.4545,0.67,0.2537,0,1,1
252,3,0,8,4,0,1,1,1,0.6,0.5606,0.83,0.1343,1,4,5
253,2,0,4,3,0,4,1,2,0.64,0.5909,0.78,0.3881,2,1,3
254,1,0,3,16,0,4,1,1,0.26,0.303,0.23,0.0,6,65,71
255,1,1,12,14,0,1,1,2,0.28,0.2727,0.45,0.2239,62,185,247
256,2,1,5,2,0,3,1,1,0.56,0.5303,0.94,0.19399999999999998,5,14,19
257,4,0,11,0,0,5,1,1,0.34,0.3333,0.76,0.1642,7,22,29
258,1,1,2,11,0,6,0,2,0.24,0.2576,0.81,0.1045,26,157,183
259,2,1,5,0,0,5,1,1,0.62,0.5758,0.83,0.1343,10,63,73
260,3,1,7,19,0,0,0,1,0.72,0.7121,0.84,0.2239,109,203,312
261,1,1,12,2,0,1,1,1,0.2,0.2576,0.75,0.0,0,5,5
262,2,0,3,12,0,1,1,2,0.44,0.4394,0.77,0.2537,25,56,81
263,2,1,4,10,0,3,1,1,0.52,0.5,0.34,0.0,44,138,182
264,1,1,1,23,0,5,1,3,0.16,0.1515,0.64,0.2239,3,35,38
265,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,2,81,83
266,4,1,11,6,0,1,1,1,0.22,0.2727,0.69,0.0,1,123,124
267,4,0,10,14,0,6,0,3,0.24,0.19699999999999998,0.87,0.4478,0,29,29
268,3,1,9,9,0,6,0,1,0.6,0.6212,0.43,0.4179,79,263,342
269,2,0,5,18,0,2,1,1,0.64,0.6212,0.29,0.1343,70,480,550
270,4,1,10,6,0,4,1,3,0.62,0.5455,0.94,0.0896,1,132,133
271,2,1,5,0,0,5,1,1,0.6,0.5758,0.78,0.3284,19,70,89
272,2,0,5,7,0,2,1,2,0.52,0.5,0.94,0.2537,13,138,151
273,1,1,2,22,0,4,1,1,0.32,0.2879,0.49,0.4179,3,106,109
274,2,0,6,15,0,2,1,2,0.82,0.7424,0.41,0.3284,56,127,183
275,2,1,6,15,0,2,1,2,0.58,0.5455,0.46,0.1343,54,218,272
276,3,1,7,4,0,2,1,1,0.66,0.6061,0.83,0.0896,0,6,6
277,3,1,8,3,0,1,1,3,0.72,0.6970000000000001,0.79,0.0896,0,5,5
278,1,0,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,1,35,36
279,1,0,1,0,1,1,0,2,0.2,0.19699999999999998,0.47,0.2239,1,16,17
280,4,1,10,5,0,0,0,1,0.4,0.4091,0.82,0.19399999999999998,5,6,11
281,3,1,8,19,0,0,0,2,0.64,0.6061,0.73,0.1343,72,269,341
282,2,0,4,2,0,4,1,1,0.5,0.4848,0.42,0.3881,3,10,13
283,3,0,8,6,0,5,1,1,0.64,0.5758,0.83,0.0,2,91,93
284,3,1,8,16,0,1,1,1,0.72,0.6667,0.54,0.2537,103,357,460
285,3,1,7,0,0,4,1,1,0.74,0.6667,0.51,0.1045,17,71,88
286,1,1,2,5,0,5,1,2,0.4,0.4091,0.87,0.19399999999999998,1,25,26
287,2,1,6,18,0,6,0,1,0.82,0.6970000000000001,0.24,0.2239,175,276,451
288,2,1,4,20,0,3,1,1,0.64,0.6212,0.27,0.2239,39,333,372
289,1,1,1,16,0,0,0,1,0.22,0.2121,0.29,0.2985,31,174,205
290,1,1,2,12,0,0,0,2,0.28,0.2727,0.52,0.2537,71,184,255
291,4,1,12,22,0,6,0,1,0.36,0.3485,0.62,0.19399999999999998,22,134,156
292,3,0,7,17,0,1,1,1,0.72,0.6970000000000001,0.74,0.0,48,437,485
293,4,0,12,10,0,6,0,1,0.32,0.303,0.57,0.2537,31,161,192
294,4,1,11,11,0,0,0,1,0.46,0.4545,0.59,0.1343,180,324,504
295,1,0,2,9,0,2,1,2,0.14,0.1212,0.74,0.2537,5,101,106
296,2,1,4,17,0,4,1,1,0.6,0.6212,0.43,0.0896,85,663,748
297,3,0,8,10,0,3,1,1,0.7,0.6515,0.58,0.2836,51,95,146
298,3,1,9,3,0,1,1,1,0.5,0.4848,0.77,0.0896,0,7,7
299,4,0,11,5,0,6,0,1,0.22,0.2576,0.75,0.0896,1,3,4
300,3,1,7,21,0,1,1,2,0.74,0.6818,0.55,0.0896,33,298,331
301,1,0,2,6,0,0,0,1,0.26,0.2576,0.6,0.2239,0,1,1
302,3,0,7,1,0,6,0,1,0.76,0.6970000000000001,0.55,0.0896,15,75,90
303,2,1,4,20,0,3,1,1,0.36,0.3333,0.46,0.3284,22,213,235
304,3,0,6,13,0,0,0,1,0.74,0.6515,0.4,0.0,197,245,442
305,2,0,5,22,0,0,0,1,0.5,0.4848,0.88,0.0896,29,86,115
306,4,1,11,2,0,2,1,2,0.32,0.3333,0.76,0.0896,0,5,5
307,2,1,5,21,0,3,1,1,0.52,0.5,0.77,0.2239,21,218,239
308,2,1,5,1,0,2,1,1,0.7,0.6667,0.79,0.19399999999999998,1,13,14
309,1,1,2,2,0,1,1,1,0.22,0.2727,0.75,0.0,0,3,3
310,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
311,3,1,9,16,0,0,0,1,0.74,0.6970000000000001,0.7,0.0,222,252,474
312,1,1,2,22,0,3,1,3,0.42,0.4242,0.94,0.2537,2,53,55
313,2,0,6,19,0,4,1,1,0.72,0.6364,0.23,0.2985,58,321,379
314,1,1,1,20,0,5,1,1,0.24,0.2424,0.41,0.1642,6,130,136
315,4,1,10,23,0,1,1,1,0.46,0.4545,0.63,0.2239,9,72,81
316,3,1,7,3,0,4,1,1,0.64,0.6061,0.69,0.1045,0,10,10
317,3,0,8,8,0,1,1,1,0.62,0.6212,0.57,0.2537,20,384,404
318,3,1,9,5,0,6,0,1,0.68,0.6364,0.79,0.0,2,20,22
319,3,1,8,9,0,0,0,2,0.66,0.6212,0.74,0.0,86,184,270
320,1,1,3,11,0,5,1,2,0.44,0.4394,0.77,0.0,40,167,207
321,2,0,3,2,0,2,1,1,0.44,0.4394,0.94,0.0896,0,1,1
322,3,1,9,4,0,2,1,2,0.62,0.5455,0.94,0.3582,2,5,7
323,2,0,6,3,0,0,0,1,0.64,0.5758,0.89,0.2836,8,20,28
324,1,0,2,4,0,0,0,2,0.2,0.2121,0.69,0.1642,0,2,2
325,4,0,11,0,0,1,1,1,0.46,0.4545,0.77,0.2836,6,10,16
326,3,1,8,22,0,3,1,1,0.64,0.6061,0.73,0.0,55,226,281
